-505,-9637,-284,-14644,-848,-7514,6768,3041,474
-34,-10168,-97,-14707,-351,-7580,6782,3044,549
517,-10647,7,-14446,-21,-7483,6786,3044,651
1152,-11008,-74,-14084,214,-7454,6788,3055,745
1619,-11047,-269,-13729,209,-7720,6789,3031,854
1665,-10777,-358,-13073,-278,-8069,6800,3016,957
1332,-10363,-380,-12330,-583,-8499,6805,3026,1052
895,-9873,-249,-12126,-774,-8370,6792,3017,1151
521,-9472,1,-12232,-451,-8540,6762,3022,1233
321,-8980,0,-12197,33,-8817,6778,3006,1327
184,-8580,-85,-12034,-55,-9221,6772,3019,1404
185,-8471,-65,-11963,-54,-9314,6788,3011,1482
229,-8290,-202,-12139,38,-9296,6762,2996,1563
294,-7892,-307,-11932,-200,-9448,6761,2996,1629
356,-7508,-366,-11386,45,-9867,6742,2984,1713
185,-7277,-509,-10898,269,-10131,6732,2970,1769
134,-6879,-923,-10832,525,-9866,6720,2972,1822
62,-6488,-1130,-10748,137,-9682,6702,2964,1893
